	title	paper	uid	image
1	Assessing the importance of diagnostic information in learning low-dimensional embedding of high-dimensional abnormal neural correlates	https://drive.google.com/open?id=16Lr07hi_DN1HfAY24TYHj5JFGUW_4mo1	16Lr07hi_DN1HfAY24TYHj5JFGUW_4mo1	16Lr07hi_DN1HfAY24TYHj5JFGUW_4mo1/poster.png
5	Protein embeddings and deep learning predict binding residues for various ligand classes	https://drive.google.com/open?id=1tWiN2cb0qB1SZfmO2chQhXZTkPZCpRqz	1tWiN2cb0qB1SZfmO2chQhXZTkPZCpRqz	1tWiN2cb0qB1SZfmO2chQhXZTkPZCpRqz/poster.png
6	Optimal Design of Stochastic DNA Synthesis Protocols Based on Generative Sequence Models	https://drive.google.com/open?id=1Cp95Bgklakx-9U2Z_VJefDeX37phtpkn	1Cp95Bgklakx-9U2Z_VJefDeX37phtpkn	1Cp95Bgklakx-9U2Z_VJefDeX37phtpkn/poster.png
7	Benchmarking deep generative models for diverse antibody sequence design	https://drive.google.com/open?id=1acMhxGTPDCtCFLq71Z20MgiddmTZfE9v, https://drive.google.com/open?id=1AgE-gn4b7SBno8e_fQhbKalC46HY3kkD	1AgE-gn4b7SBno8e_fQhbKalC46HY3kkD	1AgE-gn4b7SBno8e_fQhbKalC46HY3kkD/poster.png
9	Scalable estimation of microbial co-occurrence networks with Variational Autoencoders	https://drive.google.com/open?id=15SEUARSZIs0OJ6MXxTQQkZt61Izb_Gls	15SEUARSZIs0OJ6MXxTQQkZt61Izb_Gls	15SEUARSZIs0OJ6MXxTQQkZt61Izb_Gls/poster.png
10	CytoImageNet: A large-scale pretraining dataset for bioimage transfer learning	https://drive.google.com/open?id=1oEncT0MnK7Ajsi9OtsbgaRA1EiBrSdUx, https://drive.google.com/open?id=1T4HCnbcp0uAuI5xXY9yIJRbLTAnOI5SN	1T4HCnbcp0uAuI5xXY9yIJRbLTAnOI5SN	1T4HCnbcp0uAuI5xXY9yIJRbLTAnOI5SN/poster.png
11	Elucidation of proteasomal cleavage patterns from HLA peptidome data through deep learning	https://drive.google.com/open?id=1eajJdUpRiOsJV9jCfRljMa_PnVJJyfIg	1eajJdUpRiOsJV9jCfRljMa_PnVJJyfIg	1eajJdUpRiOsJV9jCfRljMa_PnVJJyfIg/poster.png
12	Bidirection Prediction Model for Transcriptomics and Proteomics	https://drive.google.com/open?id=1xrTgLdfFXYdK_WdE3JYxXMuIFoyUl8yu, https://drive.google.com/open?id=1zgu2NF1lu4f7uaMl2PEjPOJpfxG9TBHu	1zgu2NF1lu4f7uaMl2PEjPOJpfxG9TBHu	1zgu2NF1lu4f7uaMl2PEjPOJpfxG9TBHu/poster.png
15	AugmentedPCA: A Python Package of Supervised and Adversarial Linear Factor Models	https://drive.google.com/open?id=1UA7EbawygTA7s_ERnKbf9qx-9PpRlXi8, https://drive.google.com/open?id=1AzCUBo4fV1eC9zIlxrG8oFmqv25Wc2dp	1AzCUBo4fV1eC9zIlxrG8oFmqv25Wc2dp	1AzCUBo4fV1eC9zIlxrG8oFmqv25Wc2dp/poster.png
16	A Graph Neural Network Approach to Molecule Carcinogenicity Prediction	https://drive.google.com/open?id=1BL4C5hv8LsWdpSYpCQg6u_V3GNCSYIhi, https://drive.google.com/open?id=1cUMxI5O1rUnGEXButQChlqfkH2FlNKkO	1cUMxI5O1rUnGEXButQChlqfkH2FlNKkO	1cUMxI5O1rUnGEXButQChlqfkH2FlNKkO/poster.png
